coauthor	all_isiks	all_viafs	localid
$aKõrv, Jakob$d1849-1916	ISIK1746	http://viaf.org/viaf/40017718	830
$aKõrv, Jakob,$d1849-1916	ISIK1746	http://viaf.org/viaf/40017718	830
$aKõrv, Jakob, 1849-1916	ISIK1746	http://viaf.org/viaf/40017718	830
$aКырв, Якоб,$d1849-1916	ISIK1746	http://viaf.org/viaf/40017718	830
$aKõrv, Paulus	ISIK1747	""	831
$aBachmann, H. H.	ISIK175	""	834
$aKõvamees, Peeter,$d1901-1937	ISIK1750	http://viaf.org/viaf/7066149544614600490003	835
$aMeisel, Peeter,$cpseud.,$d1901-1937	ISIK1750	http://viaf.org/viaf/7066149544614600490003	835
$aKäbin, Madis,$d1877-1954	ISIK1754	""	839
$aLinnu, J.,$cpseud.,$d1865-1933	ISIK1756	http://viaf.org/viaf/3149542589100300550	841
$aKäis, Johannes,$d1885-1950	ISIK1757	http://viaf.org/viaf/64873798	842
$aKäosaar, Juhan,$d1909-1986	ISIK1760	http://viaf.org/viaf/22264910	846
$aKärner, Jaan,$d1891-1958	ISIK1768	http://viaf.org/viaf/73968220	854
$aLillo, Aksel,$d1896-?	ISIK1775	""	862
$aBalzer, J. F	ISIK178	""	867
$aBalzer, J. F.	ISIK178	""	867
$aLinde, Bernhard,$d1886-1954	ISIK1781	http://viaf.org/viaf/103435970	869
$aLindeberg, A	ISIK1786	""	874
$aLindenberg, Jakob,$d1840-1898	ISIK1788	http://viaf.org/viaf/305072689	876
$aLindenberg, Mihhail,$d1850-1919	ISIK1789	http://viaf.org/viaf/7495149544617600490000	877
$aLindvest, Peeter,$d1894-1929	ISIK1796	""	885
$aLinkgreim, Vilhelm,$d1849-1925	ISIK1798	http://viaf.org/viaf/34149542902600302419	887
$aLinnamaa, Eduard	ISIK1801	""	892
$aLinnasaar, Mihkel,$d1879-1930	ISIK1803	http://viaf.org/viaf/12149542569400300049	894
$aLinnus, Ferdinand,$d1895-1942	ISIK1804	http://viaf.org/viaf/89152113	895
$aLint, Aleksander,$d1886-1970	ISIK1805	http://viaf.org/viaf/2736147373407141580009	896
$aLintrop, Jaan,$d1885-1962	ISIK1807	http://viaf.org/viaf/3960424	898
$aKörbar, Karl Eduard Anton,$d1802-1883	ISIK1816	http://viaf.org/viaf/964149544567100490009	908
$aKörber, Carl,$d1802-1883	ISIK1816	http://viaf.org/viaf/964149544567100490009	908
$aKörber, Eduard Philipp,$d1770-1850	ISIK1817	http://viaf.org/viaf/52899237	909
$aKörber, Martin,$d1817-1893	ISIK1818	http://viaf.org/viaf/2598364	910
$aKöster, Oskar,$d1890-1941	ISIK1822	http://viaf.org/viaf/5153149544600000490008	915
$aKüla, Madis,$d1890-1969	ISIK1828	http://viaf.org/viaf/306431084	921
$aNurmik, Madis,$cpseud.,$d1890-1969	ISIK1828	http://viaf.org/viaf/306431084	921
$aNurmik, Madis, pseud.,$d1890-1969	ISIK1828	http://viaf.org/viaf/306431084	921
$aBauer, Aleksander	ISIK183	http://viaf.org/viaf/5149542974800302890	923
$aKüng, Aleksei	ISIK1833	""	927
$aKünnapuu, A	ISIK1837	""	931
$aKünnapuu, A.	ISIK1837	""	931
$aKöögardal, Ado,$d1891-1957	ISIK1839	http://viaf.org/viaf/220924194	933
$aBauer, Heinrich Nikolai,$d1874-1927	ISIK184	http://viaf.org/viaf/1383149544570100490008	934
$aLipp, Martin,$d1854-1923	ISIK1843	http://viaf.org/viaf/64442835	938
$aLivländer, Robert,$d1903-1944	ISIK1848	http://viaf.org/viaf/7392148390848510830000	943
$aLoigu, Jüri,$d1875-?	ISIK1852	http://viaf.org/viaf/4295149544593100490000	948
$aLuts, Osvald,$cpseud.,$d1875-?	ISIK1852	http://viaf.org/viaf/4295149544593100490000	948
$aLoiken, Karl,$d1868-1951	ISIK1854	http://viaf.org/viaf/20149542635000301005	950
$aLooga, Armil-Johannes,$d1908-1944	ISIK1860	""	957
$aLooga, Eduard Johannes,$d1903-1968	ISIK1861	""	958
$aLoone, Leida,$d1911-1969	ISIK1863	http://viaf.org/viaf/7925147425869245040006	960
$aLoone, Nigolas,$d1907-1937	ISIK1864	http://viaf.org/viaf/39762499	961
$aLooring, Aleksander,$d1910-1942	ISIK1866	http://viaf.org/viaf/1458149544570800490000	963
$aBaumthal, Rudolf	ISIK188	""	977
$aMackie, August	ISIK1884	""	982
$aMaddison, Ottomar,$d1879-1959	ISIK1887	http://viaf.org/viaf/48179059	985
$aMadisson, Osvald,$d1902-1938	ISIK1892	http://viaf.org/viaf/4756149544596700490009	991
$aPeno Alnovo,$cpseud.,$d1902-1938	ISIK1892	http://viaf.org/viaf/4756149544596700490009	991
$aLoorits, Andres,$d1869-1941	ISIK1899	http://viaf.org/viaf/38149542960700302805	998
$aLoorits, Oskar,$d1900-1961	ISIK1900 VEPER1989	http://viaf.org/viaf/69009591	1001
$aLoosalu, Jaagup,$d1898-1996	ISIK1901	http://viaf.org/viaf/8427149544624700490003	1002
$aLoppenowe, Paul,$d1826-1901	ISIK1904	http://viaf.org/viaf/7010149544614000490000	1005
$aLorenzsonn, Caspar Franz,$d1811-1880	ISIK1906	http://viaf.org/viaf/958149544567000490003	1007
$aLossius, Eduard,$d1811-1870	ISIK1908	http://viaf.org/viaf/15540624	1009
$aLossmann, Jaan	ISIK1910	""	1012
$aLuce, Johann Wilhelm Ludwig von,$d1750(1756)-1842	ISIK1914	http://viaf.org/viaf/141149294075280520218	1016
$aLuck, A.	ISIK1915	""	1017
$aLuha, Heinrich,$d1852-1923	ISIK1917	http://viaf.org/viaf/178149542899600302486	1019
$aLuhakooder, Alfred,$d1905-1971	ISIK1918	http://viaf.org/viaf/138149542869600302215	1020
$aLuhasoo, Villem,$d1913-1980	ISIK1919	http://viaf.org/viaf/42149542966500302864	1021
$aLuht, Albert,$d1904-1963	ISIK1922	http://viaf.org/viaf/231149542905300302490	1025
$aKangermann, Bernard,$d1907-1935	ISIK1925	http://viaf.org/viaf/2959149544582800490004	1028
$aLuide, Pear,$cpseud.,$d1907-1935	ISIK1925	http://viaf.org/viaf/2959149544582800490004	1028
$aLuiga, Georg Eduard,$d1866-1936	ISIK1928	http://viaf.org/viaf/195251211	1031
$aLuiga, Juhan,$d1873-1927	ISIK1929	http://viaf.org/viaf/20548116	1032
$aLuiga, Leo, 1904-1961	ISIK1930	""	1034
$aLuiga, Linda,$d1902-?	ISIK1931	""	1035
$aNoorte sõber Oskar,$cpseud.,$d1889-1941	ISIK1935	http://viaf.org/viaf/982149544567200490002	1039
$aLukats, Jakob,$d1878-1947	ISIK1939 VEPER260	http://viaf.org/viaf/2205149544576700490001	1043
$aBehrsing, Arthur,$d1873-1929	ISIK194	http://viaf.org/viaf/316004928	1044
$aLukin, August,$d1888-1942	ISIK1940	http://viaf.org/viaf/7100149544614800490003	1045
$aÜkspere, Kusta,$cpseud.,$d1888-1942	ISIK1940	http://viaf.org/viaf/7100149544614800490003	1045
$aLuks, Jaan,$d1900-1973	ISIK1943	""	1048
$aBekker, Marta	ISIK195	""	1055
$aLust, Jaan,$d1879-1942	ISIK1950	http://viaf.org/viaf/7469149544617500490004	1056
$aLuther, Theodor Diedrich Witgenstein,$d1812-1869	ISIK1951	http://viaf.org/viaf/7161149544615100490008	1057
$aLuts, Elmar,$d1907-1991	ISIK1952	http://viaf.org/viaf/118149542641000301059	1058
$aLuts, Karl,$d1883-1942	ISIK1954	http://viaf.org/viaf/7099149544614700490003	1060
$aOorgu, Mihkel,$cpseud.,$d1888-1929	ISIK1955	http://viaf.org/viaf/15149542633800301024	1061
$aLuts, Oskar,$d1887-1953	ISIK1956	http://viaf.org/viaf/27108708	1062
$aLuud, K.	ISIK1960	""	1067
$aLuud, Karl,$d1882-?	ISIK1960	""	1067
$aLuud, Karl,d1882-?	ISIK1960	""	1067
$aLõo, J.	ISIK1968	http://viaf.org/viaf/9663831	1075
$aLõo, Jaan,$d1872-1939	ISIK1968	http://viaf.org/viaf/9663831	1075
$aKivi, Toomas,$cpseud.,$d1903-1942	ISIK1972 ISIK4359 VEPER4126	http://viaf.org/viaf/7055149544614500490001	1080
$aLõvi, Oskar,$d1903-1942	ISIK1972 ISIK4359 VEPER4126	http://viaf.org/viaf/7055149544614500490001	1080
$aLäte, A	ISIK1976	http://viaf.org/viaf/41076396	1084
$aLäte, Aleksander,$d1860-1948	ISIK1976	http://viaf.org/viaf/41076396	1084
$aMihkelsoo, Artur,$d1902-1988	ISIK1980	http://viaf.org/viaf/165485227	1089
$aMihkla, Karl,$d1901-1980	ISIK1981	http://viaf.org/viaf/59100186	1090
$aMiisna, A.	ISIK1983	""	1092
$aMikkelsaar, Emma Amalie,$d1886-1965	ISIK1989	""	1098
$aMikkelsaar, Friedrich,$d1886-1930	ISIK1990	http://viaf.org/viaf/2803149544581500490003	1100
$aMiljan, Artur,$d1909-1992	ISIK1995	http://viaf.org/viaf/42149542627200301046	1105
$aAdamson, Hendrik,$d1891-1946	ISIK20	http://viaf.org/viaf/41050515	1111
$aMiller, Voldemar,$d1911-2006	ISIK2001	http://viaf.org/viaf/52327962	1114
$aMilvere, Georg,$d1888-?	ISIK2003	""	1116
$aBerendsen, Robert,$d1884-1941	ISIK201	http://viaf.org/viaf/150149542591100300630	1123
$aKarupoeg, R.,$cpseud	ISIK201	http://viaf.org/viaf/150149542591100300630	1123
$aLeino, Eino,$cpseud.,$d1878-1926	ISIK2010	http://viaf.org/viaf/4946087	1124
$aLüdig, Mihkel,$d1880-1958	ISIK2013	http://viaf.org/viaf/79267432	1127
$aLüdimois, Johannes	ISIK2015	""	1129
$aLüüdik, Agu,$d1897-1949	ISIK2019	http://viaf.org/viaf/1620147425850745040000	1133
$aLüüs, Aadu,$d1878-1967	ISIK2020 VEPER1992	http://viaf.org/viaf/12180807	1135
$aMirring, Richard,$d1901-1938	ISIK2023	http://viaf.org/viaf/5147121657726390139	1138
$aMisler, A	ISIK2025	""	1140
$aMitt, Helmut	ISIK2028	""	1143
$aMitt, Helmut Chariton,$d1910-?	ISIK2028	""	1143
$aMitt, Paul,$d1896-1969	ISIK2033	http://viaf.org/viaf/1406152381753201950008	1149
$aMoks, Karl	ISIK2035	""	1151
$aBerg, Karl Ernst von,$d1773-1833	ISIK204	http://viaf.org/viaf/20076868	1156
$aMoor, Arvi,$d1909-2001	ISIK2040	http://viaf.org/viaf/48395774	1157
$aMoor, Felix,$d1903-1955	ISIK2042	http://viaf.org/viaf/2147121651126391445	1159
$aAmjärv, M.,$cpseud.,$d1900-1968	ISIK2043	http://viaf.org/viaf/153587	1160
$aMoora, Harri,$d1900-1968	ISIK2043	http://viaf.org/viaf/153587	1160
$aMootse, Gustav,$d1885-1957	ISIK2049	http://viaf.org/viaf/8147121683226390571	1166
$aMorel, A	ISIK2051	""	1169
$aKivialune, M.,$cpseud	ISIK2052	http://viaf.org/viaf/4969149544598200490007	1170
$aMorrison, Martin,$d1879-1937	ISIK2052	http://viaf.org/viaf/4969149544598200490007	1170
$aBergmann, Anna,$d1903-?	ISIK206	http://viaf.org/viaf/1988149544575000490002	1178
$aMägi, Anna,$cpseud.,$d1903-?	ISIK206	http://viaf.org/viaf/1988149544575000490002	1178
$aMägi, Anna, pseud.,$d1903-?	ISIK206	http://viaf.org/viaf/1988149544575000490002	1178
$aMalm, Carl Eduard,$d1837-1901	ISIK2060	http://viaf.org/viaf/3145244328274481402	1179
$aMalm, Harry A.$d1897-1967	ISIK2061 ISIK2062 VEPER4157	http://viaf.org/viaf/1791149544573500490002	1180
$aMalm, Harry A.,$d1897-1967	ISIK2061 ISIK2062 VEPER4157	http://viaf.org/viaf/1791149544573500490002	1180
$aRännang, Virve,$cpseud.,$d1904-1942	ISIK2066	http://viaf.org/viaf/10149542732000301131	1184
$aManninen, Ilmari,$d1894-1935	ISIK2069	http://viaf.org/viaf/64022680	1187
$aMaramaa, August,$d1881-1941	ISIK2070	http://viaf.org/viaf/57807891	1189
$aMaran, Hell,$d1905-1991	ISIK2071	""	1190
$aMaran, Ida	ISIK2072	""	1191
$aMardus, Mart,$cpseud	ISIK2075	""	1194
$aMardus, Mati,$cpseud.,$d1883-1940	ISIK2075	""	1194
$aMark, Heinrich,$d1911-2004	ISIK2079 VEPER1305	http://viaf.org/viaf/263134152	1198
$aBergmann, Jaan,$d1856-1916	ISIK208	http://viaf.org/viaf/311728889	1199
$aMark, Julius,$d1890-1959	ISIK2080 VEPER952	http://viaf.org/viaf/224145542744896642065	1200
$aMark, Kristine,$d1895-1969	ISIK2081	""	1201
$aMarkus, Anna,$d1878-1955	ISIK2083	""	1203
$aMarkus, Georg,$d1841-1929	ISIK2084	http://viaf.org/viaf/8633149544626400490008	1204
$aMarkus, J.	ISIK2085 VEPER1645	http://viaf.org/viaf/22146635651741982504	1205
$aMarkus, Johannes,$d1884-1969	ISIK2085 VEPER1645	http://viaf.org/viaf/22146635651741982504	1205
$aMartin, August	ISIK2089	""	1209
$aMartin, Benjamin,$d1892-1969	ISIK2090 ISIK2091	http://viaf.org/viaf/66149542770000301327	1211
$aMartin, Hans	ISIK2092	""	1212
$aMartinson, August,$d1894-1941	ISIK2095	http://viaf.org/viaf/25149542762000301274	1215
$aMuchell, J	ISIK2097	""	1217
$aMuchell, J.	ISIK2097	""	1217
$aMuide, Jakob Martin,$d1865-1942	ISIK2101	""	1223
$aMuik, Lilly,$d1906-1983	ISIK2102	http://viaf.org/viaf/7536149544617900490001	1224
$aMurakin, Ants,$d1892-1975	ISIK2107	http://viaf.org/viaf/232738845	1229
$aMurdmaa, Enn,$d1874-1957	ISIK2109	http://viaf.org/viaf/7047147270615835700002	1231
$aMurrik-Polonsky, Niina,$d1897-1947	ISIK2113	http://viaf.org/viaf/6034149544606400490008	1236
$aNurme Mangala,$cpseud.,$d1897-1947	ISIK2113	http://viaf.org/viaf/6034149544606400490008	1236
$aMurro, Jaan,$d1903-1969	ISIK2115	""	1238
$aMust, Johanna	ISIK2118	""	1241
$aMutli, Jüri	ISIK2121	http://viaf.org/viaf/12149542815800301871	1245
$aMuuk, Elmar,$d1901-1941	ISIK2124	http://viaf.org/viaf/71488298	1248
$aMõru, Leena,$d1869-?	ISIK2125	""	1249
$aMõttus, Alfred,$d1886-1942	ISIK2126	http://viaf.org/viaf/4513149544594800490003	1250
$aMartinson, Erich,$d1898-1983	ISIK2130	http://viaf.org/viaf/32149542623500301019	1255
$aMartinson, H.	ISIK2131	""	1256
$aMartinson, Hans,$d1872-1935	ISIK2131	""	1256
$aMartinson, Märt,$d1890-1940	ISIK2133	http://viaf.org/viaf/9591149544633200490002	1258
$aSalu, M.,$cpseud.,$d1890-1940	ISIK2133	http://viaf.org/viaf/9591149544633200490002	1258
$aMartinson, Vassili,$d1874-1955	ISIK2134 VEPER4187	http://viaf.org/viaf/300149544561900490002	1259
$aMartna, Mihkel,$d1860-1934	ISIK2135 ISIK2136	http://viaf.org/viaf/4921975	1260
$aMartson, David,$du.1846-1892	ISIK2137	http://viaf.org/viaf/10149542987900302822	1261
$aMasik, Ernst,$d1890-1949	ISIK2141	http://viaf.org/viaf/4831149544597400490007	1266
$aMasing, Carl Gottfried Gustav,$d1789-1859	ISIK2143	http://viaf.org/viaf/81149542901500302420	1268
$aMasing, Otto Wilhelm,$d1763-1832	ISIK2146	http://viaf.org/viaf/56844720	1271
$aMasing, Richard,$d1896-1976	ISIK2147	""	1272
$aMasing, Uku,$d1909-1985	ISIK2148	http://viaf.org/viaf/82993333	1273
$aMasso, Salme,$d1909-1990	ISIK2149	http://viaf.org/viaf/305081225	1274
$aMathiesen, Andres,$d1890-1955	ISIK2151 ISIK2152 VEPER1500	http://viaf.org/viaf/19088828	1277
$aMatteus, Arnold,$d1897-1986	ISIK2154	http://viaf.org/viaf/88147095099425082188	1279
$aMatto, Gustav,$d1886-1972	ISIK2156	http://viaf.org/viaf/100695234	1281
$aMatto, Johan,$d1850-1932	ISIK2157	http://viaf.org/viaf/74149542580500300457	1282
$aMatto, Johan,$d1850-1932,$ctõlkija	ISIK2157	http://viaf.org/viaf/74149542580500300457	1282
$aMauer, A	ISIK2160	""	1286
$aMäe, Hjalmar,$d1901-1978	ISIK2163 VEPER1429	http://viaf.org/viaf/21741525	1289
$aMäelo, Helmi,$d1898-1978	ISIK2164	http://viaf.org/viaf/11091238	1290
$aMäesakk, Elsa	ISIK2167	""	1293
$aMäevälja, Aleksander,$d1857-1938	ISIK2170	http://viaf.org/viaf/103435936	1297
$aMägi, A.	ISIK2172	""	1299
$aMägi, Eduard,$d1897-1990	ISIK2174	""	1301
$aMägi, Jaan	ISIK2180	http://viaf.org/viaf/561147093665225000678	1308
$aMägi, Jaan,$d1883-1939	ISIK2180	http://viaf.org/viaf/561147093665225000678	1308
$aMägi, Jaan, 1883-1939	ISIK2180	http://viaf.org/viaf/561147093665225000678	1308
$aMägi, Juhan,$d1870-1942	ISIK2181	http://viaf.org/viaf/24149542902300302419	1309
$aMägi, Konrad,$d1878-1925	ISIK2182	http://viaf.org/viaf/18522215	1310
$aMägi, Otto,$d1868-1918	ISIK2185	""	1313
$aMägiste, Julius,$d1900-1978	ISIK2188 VEPER885	http://viaf.org/viaf/12354612	1316
$aKihulane, Juhan,$cpseud.,$d1900-1987	ISIK2190 VEPER4052	http://viaf.org/viaf/76485880	1319
$aMälk, August,$d1900-1987	ISIK2190 VEPER4052	http://viaf.org/viaf/76485880	1319
$aMällov, J.	ISIK2192	""	1321
$aMänd, Evald,$d1906-2001	ISIK2194 VEPER2805	http://viaf.org/viaf/192474973	1323
$aMänd, Oskar$d1901-1968	ISIK2196 VEPER1539	http://viaf.org/viaf/18149542580500300449	1325
$aMänd, Oskar,$d1901-1968	ISIK2196 VEPER1539	http://viaf.org/viaf/18149542580500300449	1325
$aMändmets, Jakob,$d1871-1930	ISIK2198	http://viaf.org/viaf/56704805	1327
$aBirk, Ado,$d1883-1942	ISIK220	http://viaf.org/viaf/308694678	1330
$aMännik, Eduard,$d1906-1966	ISIK2201	http://viaf.org/viaf/94344212	1332
$aOrmus,$cpseud.,$d1906-1966	ISIK2201	http://viaf.org/viaf/94344212	1332
$aVirges, Aadi,$cpseud.,$d1906-1966	ISIK2201	http://viaf.org/viaf/94344212	1332
$aMaurer, Arnold,$d1902-1937	ISIK2202	http://viaf.org/viaf/6165149544607500490000	1333
$aSagittarius, A.,$cpseud.,$d1902-1937	ISIK2202	http://viaf.org/viaf/6165149544607500490000	1333
$aTerijõe, Arnold,$cpseud.,$d1902-1937	ISIK2202	http://viaf.org/viaf/6165149544607500490000	1333
$aSamarow, Gregor,$cpseud.,$d1829-1903	ISIK2204	http://viaf.org/viaf/282965535	1335
$aLooring, Leo,$cpseud.,$d1903-1952	ISIK2207	http://viaf.org/viaf/1938149544574700490005	1338
$aMeer, J.,$cpseud.,$d1903-1952	ISIK2207	http://viaf.org/viaf/1938149544574700490005	1338
$aMeerits, Johannes,$d1903-1952	ISIK2207	http://viaf.org/viaf/1938149544574700490005	1338
$aMei, Madis,$d1872-1940	ISIK2208	""	1339
$aBirkenfeldt, Werner,$d1903-1942	ISIK221	http://viaf.org/viaf/4136149544591800490004	1341
$aVerny,$cpseud.,$d1903-1942	ISIK221	http://viaf.org/viaf/4136149544591800490004	1341
$aMeibaum, Joosep,$d1895-1941	ISIK2210	http://viaf.org/viaf/2407149544578400490000	1342
$aMeikop, A.	ISIK2212	""	1344
$aMeil, Paul Arthur,$d1876-1956	ISIK2213	""	1345
$aMeimer, Johan,$d1904-1944	ISIK2214	http://viaf.org/viaf/12149542911500302263	1346
$aMelesk, Heino,$d1904-?	ISIK2219	""	1351
$aMelso, Kaarel,$d1884-1958	ISIK2222	http://viaf.org/viaf/26149542628000300991	1355
$aMendelin, Irene,$d1864-1944	ISIK2226	""	1359
$aMengel, Hamilkar,$d1912-1987	ISIK2228	http://viaf.org/viaf/19001472	1361
$aMenning, Karl,$d1874-1941	ISIK2229	http://viaf.org/viaf/70560619	1362
$aMental, A	ISIK2230	""	1364
$aMeomuttel, Jüri,$d1868-1948	ISIK2231	http://viaf.org/viaf/4202153411835641700005	1365
$aMeos, Edgar,$d1901-1971	ISIK2233	http://viaf.org/viaf/25149542770400301290	1367
$aMerilaid, Aleksander,$d1898-?	ISIK2241	""	1376
$aMesching, Edgar,$d?-1933	ISIK2246	""	1381
$aMesikäpp, Vootele,$d1880-1926	ISIK2247	http://viaf.org/viaf/106149542898900302503	1382
$aMesiäinen, Evert,$d1886-1967	ISIK2249	""	1384
$aMets, Jaan,$d1891-1969	ISIK2251 VEPER2907	http://viaf.org/viaf/8624945	1387
$aMetslang, Lui,$d1906-1942	ISIK2256	""	1392
$aMettus, Voldemar,$d1894-1975	ISIK2259	http://viaf.org/viaf/56452697	1395
$aMey, Johan,$d1867-1927	ISIK2261	http://viaf.org/viaf/316028951	1398
$aMichelson, Herbert,$d1904-1986	ISIK2268 VEPER3759	http://viaf.org/viaf/65352529	1405
$aKoidula, Lydia,$cpseud.,$d1843-1886	ISIK2273	http://viaf.org/viaf/54206085	1411
$aMickwitz, Woldemar,$d1813-1899	ISIK2277	http://viaf.org/viaf/68149544559800490008	1415
$aBlumberg, Constantin,$d1850-1897	ISIK228	http://viaf.org/viaf/292158990	1418
$aMihkelson, Johann,$d1907-1992	ISIK2280	http://viaf.org/viaf/57416685	1419
$aMäns, Bernhard	ISIK2286	http://viaf.org/viaf/47149542591200300732	1425
$aMäns, Julius Bernhard,$d1871-1935	ISIK2286	http://viaf.org/viaf/47149542591200300732	1425
$aMätlik, August,$d1881-1956	ISIK2289	http://viaf.org/viaf/66147095143225082548	1428
$aBlumberg, Gustav,$d1834-1892	ISIK229	http://viaf.org/viaf/45473011	1429
$aMäär, Martin,$d1874-1947	ISIK2290	""	1430
$aMölder, Vassili,$d1878-1943	ISIK2295	http://viaf.org/viaf/782149544565700490008	1435
$aProletarlane, V.,$cpseud.,$d1878-1943	ISIK2295	http://viaf.org/viaf/782149544565700490008	1435
$aMöldermann, Hans,$d1876-1914	ISIK2296	http://viaf.org/viaf/63149542900800302421	1436
$aAdamson, Johannes,$d1883-1944	ISIK23	http://viaf.org/viaf/6847149544612800490008	1440
$aMühlberg, Nikolai David Hermann,$d1810-1854	ISIK2304	http://viaf.org/viaf/1149542885800302393	1446
$aMühlen, H	ISIK2306	""	1448
$aMühlen, Konrad v	ISIK2307	""	1449
$aMünther, Otto,$d1864-1929	ISIK2312	http://viaf.org/viaf/8051147270481835700009	1455
$aNukk, Eduard,$d1896-1978	ISIK2317	http://viaf.org/viaf/3499147425856445040009	1460
$aNukk, Mihkel,$d1907-1995	ISIK2318	""	1461
$aBlumfeldt, Evald,$d1902-1981	ISIK232 VEPER1506	http://viaf.org/viaf/56636365	1463
$aNurk, Mart,$d1892-1948	ISIK2322	http://viaf.org/viaf/300035525	1466
$aNurk, Mihkel,$d1875-?	ISIK2323	""	1467
$aKaurits, T.,$cpseud.,$d1907-1963	ISIK2324	http://viaf.org/viaf/2621147425853645040001	1468
$aNurkse, Rein,$d1907-1963	ISIK2324	http://viaf.org/viaf/2621147425853645040001	1468
$aNurme, Minni,$cpseud.,$d1917-1994	ISIK2325	http://viaf.org/viaf/305094053	1469
$aNurmiste, Enn,$d1894-1968	ISIK2327	http://viaf.org/viaf/14168374	1471
$aNaelapea, Yri,$d1896-1969	ISIK2338 VEPER993	http://viaf.org/viaf/989147270587635700002	1483
$aRanda, Kaljo,$cpseud.,$d1896-1969	ISIK2338 VEPER993	http://viaf.org/viaf/989147270587635700002	1483
$aRood, Olaf,$cpseud.,$d1896-1969	ISIK2338 VEPER993	http://viaf.org/viaf/989147270587635700002	1483
$aSaroughe, Alfred Georg,$cpseud.,$d1896-1969	ISIK2338 VEPER993	http://viaf.org/viaf/989147270587635700002	1483
$aNaha, Johann,$d1902-1982	ISIK2342	http://viaf.org/viaf/50174297	1488
$aNamsing, Herman,$d1878-1924	ISIK2343	""	1489
$aNamsing, Hermann,$d1878-1924	ISIK2343	""	1489
$aNamsing, Hermann.$d1878-1924	ISIK2343	""	1489
$aNuudi, J	ISIK2352	""	1499
$aNõmberg, Herbert	ISIK2355	""	1502
$aPõldur, Ants,$cpseud.,$d1907-1945	ISIK2356	http://viaf.org/viaf/143149542869700302213	1503
$aNõmmik, Anton,$d1882-1957	ISIK2361 VEPER1502	http://viaf.org/viaf/172193792	1509
$aNymann, Johan,$d1859-1933	ISIK2369	http://viaf.org/viaf/7152380096501762765	1517
$aNymann, Johan,$d1859-1933.	ISIK2369	http://viaf.org/viaf/7152380096501762765	1517
$aObram, Peter	ISIK2371	""	1520
$aOebius, Alfred,$d1873-1956	ISIK2376	""	1525
$aOengo-Juhandi, Ada,$d1896-1963	ISIK2378	http://viaf.org/viaf/36149542812300301719	1527
$aOffenbach, Alfred,$d1906-?	ISIK2379	""	1528
$aOhu, Aleksander,$d1901-1972	ISIK2380	""	1530
$aOinas, Aleksander,$d1887-1942	ISIK2381	http://viaf.org/viaf/8615149544626300490001	1531
$aNebokat, Jaan,$d1844-1908	ISIK2383	http://viaf.org/viaf/305073163	1533
$aNedatz, Wilhelm	ISIK2384	""	1534
$aNeggo, Helmi,$d1892-1920	ISIK2386	http://viaf.org/viaf/306425430	1536
$aNeggo-Võssokotsky, Jenny,$d1881-?	ISIK2387	""	1537
$aNerling, Franz,$d1835-1909	ISIK2392	http://viaf.org/viaf/309688640	1543
$aNeufeldt, A. O	ISIK2394	""	1545
$aNeuhaus, Hans,$d1867-1933	ISIK2395	""	1546
$aNeumann, Mihkel,$d1866-1941	ISIK2398	http://viaf.org/viaf/10978135	1549
$aAdari, Aadu,$d1904-1956	ISIK24	http://viaf.org/viaf/54149542777200301357	1551
$aBorm, Friedrich Wilhelm,$d1812-1881	ISIK240	http://viaf.org/viaf/1510149544571200490001	1552
$aNeus, Alexander Heinrich,$d1795-1876	ISIK2400	http://viaf.org/viaf/3236367	1553
$aNey, Gottlieb,$d1881-1973	ISIK2401	http://viaf.org/viaf/12299812	1554
$aNeggo, Victor,$d1890-1942	ISIK2404	http://viaf.org/viaf/285370480	1557
$aSander, Jursi,$cpseud.,$d1890-1942	ISIK2404	http://viaf.org/viaf/285370480	1557
$aNieländer, Heinrich	ISIK2406	""	1559
$aNiggol, Carl Heinrich,$d1851-1927	ISIK2408	http://viaf.org/viaf/1878149544574000490009	1561
$aNiilus, Valter,$d1913-1978	ISIK2411	http://viaf.org/viaf/6753149544612200490002	1565
$aNiinas, Joh,$d1873-?	ISIK2412	""	1566
$aNiinas, Joh.	ISIK2412	""	1566
$aNiinas, Johannes,$d1873-1941	ISIK2412	""	1566
$aNiinemägi, Aare,$d1911-1986	ISIK2415	http://viaf.org/viaf/24149542592500300711	1569
$aNiinivaara, Eeva,$d1901-2000	ISIK2417	http://viaf.org/viaf/72920351	1571
$aLepp, Andres,$cpseud.,$d1904-1989	ISIK2420	http://viaf.org/viaf/7426149544616900490007	1575
$aNiitof, Arno,$d1904-1989	ISIK2420	http://viaf.org/viaf/7426149544616900490007	1575
$aNeuman, Leonhard,$d1885-1933	ISIK2427	http://viaf.org/viaf/48679157	1582
$aOinas, August,$d1898-1965	ISIK2429 VEPER295	""	1584
$aBraks, Tõnis,$d1885-1966	ISIK243	http://viaf.org/viaf/28146574880238150608	1585
$aHeini,$cpseud.,$d1885-1966	ISIK243	http://viaf.org/viaf/28146574880238150608	1585
$aHeini, T	ISIK243	http://viaf.org/viaf/28146574880238150608	1585
$aOinas, Felix,$d1911-2004	ISIK2430 VEPER145	http://viaf.org/viaf/34478343	1586
$aNippak, Axel E	ISIK2435	""	1591
$aNirk, Juhan,$d1899-1942	ISIK2438	http://viaf.org/viaf/165149542626100300924	1594
