coauthor	all_isiks	all_viafs	localid
$aKents, Jakob,$d1883-1947	ISIK1165	http://viaf.org/viaf/14573596	187
$aKents, jakob,$d1883-1947	ISIK1165	http://viaf.org/viaf/14573596	187
$aKeppi, Aleksander,$d1888-1941	ISIK1167	http://viaf.org/viaf/19149542777000301303	189
$aLaas, August,$d1871-?	ISIK1168	""	190
$aKeres, Paul,$d1916-1975	ISIK1176	http://viaf.org/viaf/7432247	199
$aKerg, J.	ISIK1177	""	200
$aKerg, Johannes,$d1848-1926	ISIK1177	""	200
$aKerg, Maria	ISIK1178	""	201
$aArak, Maria,$d1892-?	ISIK118 ISIK6176	""	203
$aKesa, K.	ISIK1181 VEPER3101	http://viaf.org/viaf/7149542811500301693	205
$aKesa, Karl,$d1902-1960	ISIK1181 VEPER3101	http://viaf.org/viaf/7149542811500301693	205
$aKettunen, Hilja,$d1888-1981	ISIK1182	""	206
$aLaats, Artur,$d1892-1941	ISIK1186	http://viaf.org/viaf/3821149544589300490000	210
$aLaene, R	ISIK1187	""	211
$aLaene, R.	ISIK1187	""	211
$aKettunen, Lauri,$d1885-1963	ISIK1188	http://viaf.org/viaf/100199124	212
$aKitzberg, Ernst,$d1865-1942	ISIK1190	http://viaf.org/viaf/29153409774041582877	215
$aKitzberg, Jaan,$d1838-1913	ISIK1191	http://viaf.org/viaf/32153409664141581093	216
$aKivi, Aleksander,$d1894-1985	ISIK1196 VEPER3204	http://viaf.org/viaf/210164688	221
$aKivi, Alfred,$d1883-1934	ISIK1197	http://viaf.org/viaf/10149542572500300179	222
$aKarus, Mart,$cpseud.,$d1898-1978	ISIK1198 VEPER3220	http://viaf.org/viaf/12634977	223
$aKivikas, Albert,$d1898-1978	ISIK1198 VEPER3220	http://viaf.org/viaf/12634977	223
$aKivikink, G.	ISIK1199	""	224
$aKivimäe, Madli,$d1902-1990	ISIK1201	http://viaf.org/viaf/4255149544592800490002	228
$aMadli Tädi,$cpseud.,$d1902-1990	ISIK1201	http://viaf.org/viaf/4255149544592800490002	228
$aKiviste, Georg,$d1866-1941	ISIK1204	http://viaf.org/viaf/1741149544572900490006	231
$aKivit, Richard,$d1888-1981	ISIK1206 VEPER3131	http://viaf.org/viaf/4557233	233
$aKlaanmann, Johann,$d1865-1926	ISIK1207	http://viaf.org/viaf/37149542960700302807	234
$aKlaas, Heinrich,$d1879-1937	ISIK1210	""	238
$aLahesalu, Eduard	ISIK1216	""	244
$aKider, Karl,$d1882-1946	ISIK1219	http://viaf.org/viaf/450144782717363510653	247
$aSoar, Redik,$cpseud.,$d1882-1946	ISIK1219	http://viaf.org/viaf/450144782717363510653	247
$aKiilim, Gustav,$d1885?-1938	ISIK1230	""	260
$aKiirats, Mart,$d1884-1956	ISIK1232	http://viaf.org/viaf/9961799	262
$aMõtslane, Mats,$cpseud.,$d1884-1956	ISIK1232	http://viaf.org/viaf/9961799	262
$aMõtslane, Mats, pseud.,$d1884-1956	ISIK1232	http://viaf.org/viaf/9961799	262
$aKleis, Helmi,$d1898-1975	ISIK1237	http://viaf.org/viaf/147149542838000301922	267
$aKleis, Richard,$d1896-1982	ISIK1238	http://viaf.org/viaf/245330	268
$aKiisel, Otto Johannes,$d1886-1967	ISIK1242 VEPER3115	http://viaf.org/viaf/1149542570600300024	273
$aKiisla, August,$d1899-1971	ISIK1245	http://viaf.org/viaf/365147266515135480391	276
$aKiivet, Johannes,$d1879-1967	ISIK1247	http://viaf.org/viaf/2791149544581400490001	278
$aKimmel, Jüri,$d1899-1982	ISIK1254	http://viaf.org/viaf/2577149544579800490003	286
$aKingissepp, Viktor,$d1888-1922	ISIK1257	http://viaf.org/viaf/8187804	289
$aKingissepp, Viktor,1888-1922	ISIK1257	http://viaf.org/viaf/8187804	289
$aKink, Aleksander,$d1882-1937	ISIK1260	http://viaf.org/viaf/4333149544593400490003	293
$aKipper, Jaan,$d1870-1960	ISIK1264	http://viaf.org/viaf/79149542910300302596	297
$aKirik, Valter,$d1897-1937	ISIK1266	""	299
$aKirotar, Elmar,$d1899-1985	ISIK1268 VEPER1630	http://viaf.org/viaf/2290149544577400490005	301
$aAriste, Paul,$d1905-1990	ISIK127	http://viaf.org/viaf/68973958	303
$aKirp, Karl Bernhard,$d1895-1930	ISIK1271	http://viaf.org/viaf/61149542627800301049	305
$aKirs, Evald,$d1915-1989	ISIK1273	""	307
$aKirsch, Selma,$d?-1941	ISIK1275	http://viaf.org/viaf/1764149544573100490003	309
$aKirsel, Mats,$d1841-1907	ISIK1279	http://viaf.org/viaf/5149542776800301308	313
$aKitsing, Jüri,$d1907-1941	ISIK1284	""	319
$aKitsnik, Martin,$d1879-1957	ISIK1285	http://viaf.org/viaf/209149542583300300353	320
$aAren, Peet,$d1889-1970	ISIK129 VEPER1287	http://viaf.org/viaf/313481323	325
$aAren,Peet,$d1889-1970	ISIK129 VEPER1287	http://viaf.org/viaf/313481323	325
$aLeiumaa, Anton	ISIK1290	""	326
$aLellep, J.	ISIK1294	""	330
$aLemba, Artur,$d1885-1963	ISIK1296	http://viaf.org/viaf/208480	332
$aAben, Karl,$d1896-1976	ISIK13	http://viaf.org/viaf/7504668	336
$aLembit, Martin	ISIK1302	""	340
$aKihva Värdi,$cpseud.,$d1904-1995	ISIK1303	http://viaf.org/viaf/311428219	341
$aLahi, Riho,$d1904-1995	ISIK1303	http://viaf.org/viaf/311428219	341
$aLemm, Daniel,$d1845-1924	ISIK1304	http://viaf.org/viaf/291590241	342
$aLeoke, Hans,$d1853-1919	ISIK1308	http://viaf.org/viaf/67149542949400302766	346
$aLepa, Johannes	ISIK1310	""	349
$aLepik, Hugo,$d1905-2001	ISIK1314 VEPER3937	http://viaf.org/viaf/3827147373414341580008	353
$aLepik, Mart,$d1900-1971	ISIK1317	http://viaf.org/viaf/44410962	356
$aLepik, Rudolf,$d1881-1918	ISIK1319	http://viaf.org/viaf/30153893705902292886	358
$aLeppardt, Carl	ISIK1330	""	371
$aLeppardt, Karl	ISIK1330	""	371
$aLeppik, Jaan,$d1861-1943	ISIK1333	http://viaf.org/viaf/37937014	374
$aLaid, Eerik,$d1904-1961	ISIK1335 VEPER1967	http://viaf.org/viaf/304960265	376
$aLaidsaar, Eerik,$cpseud.,$d1906-1962	ISIK1336 VEPER947	http://viaf.org/viaf/3193147373410441580006	377
$aLaidsaar, Eerik, $cpseud.,$d1906-1962	ISIK1336 VEPER947	http://viaf.org/viaf/3193147373410441580006	377
$aLaidvere, Johannes,$d1903-1984	ISIK1337	http://viaf.org/viaf/8149542842900301978	378
$aLaja, Loomet,$d1903-?	ISIK1342	""	384
